Track 0: 
Track 1: Piano RH
Note 62 (D)| velocity 120 | tempo: 98 | time: 182.85 seconds | frame: 4388 => Midi message: (note_on channel=0 note=62 velocity=120 time=98)
Note 72 (C)| velocity 120 | tempo: 94 | time: 183.13 seconds | frame: 4395 => Midi message: (note_on channel=0 note=72 velocity=120 time=94)
Note 71 (B)| velocity 120 | tempo: 4 | time: 183.41 seconds | frame: 4401 => Midi message: (note_on channel=0 note=71 velocity=120 time=4)
Note 69 (A)| velocity 120 | tempo: 0 | time: 183.70 seconds | frame: 4408 => Midi message: (note_on channel=0 note=69 velocity=120 time=0)
Note 60 (C)| velocity 120 | tempo: 2 | time: 183.70 seconds | frame: 4408 => Midi message: (note_on channel=0 note=60 velocity=120 time=2)
Note 71 (B)| velocity 120 | tempo: 98 | time: 184.55 seconds | frame: 4429 => Midi message: (note_on channel=0 note=71 velocity=120 time=98)
Note 72 (C)| velocity 120 | tempo: 0 | time: 184.83 seconds | frame: 4435 => Midi message: (note_on channel=0 note=72 velocity=120 time=0)
Note 74 (D)| velocity 120 | tempo: 6 | time: 185.12 seconds | frame: 4442 => Midi message: (note_on channel=0 note=74 velocity=120 time=6)
Note 76 (E)| velocity 120 | tempo: 0 | time: 185.40 seconds | frame: 4449 => Midi message: (note_on channel=0 note=76 velocity=120 time=0)
Note 67 (G)| velocity 120 | tempo: 4 | time: 186.24 seconds | frame: 4469 => Midi message: (note_on channel=0 note=67 velocity=120 time=4)
Note 77 (F)| velocity 120 | tempo: 4 | time: 186.53 seconds | frame: 4476 => Midi message: (note_on channel=0 note=77 velocity=120 time=4)
Note 76 (E)| velocity 120 | tempo: 4 | time: 186.81 seconds | frame: 4483 => Midi message: (note_on channel=0 note=76 velocity=120 time=4)
Note 74 (D)| velocity 120 | tempo: 6 | time: 187.10 seconds | frame: 4490 => Midi message: (note_on channel=0 note=74 velocity=120 time=6)
Note 65 (F)| velocity 120 | tempo: 2 | time: 187.95 seconds | frame: 4510 => Midi message: (note_on channel=0 note=65 velocity=120 time=2)
Note 76 (E)| velocity 120 | tempo: 2 | time: 188.23 seconds | frame: 4517 => Midi message: (note_on channel=0 note=76 velocity=120 time=2)
Note 74 (D)| velocity 120 | tempo: 2 | time: 188.51 seconds | frame: 4524 => Midi message: (note_on channel=0 note=74 velocity=120 time=2)
Note 72 (C)| velocity 120 | tempo: 0 | time: 188.79 seconds | frame: 4531 => Midi message: (note_on channel=0 note=72 velocity=120 time=0)
Note 64 (E)| velocity 120 | tempo: 4 | time: 189.64 seconds | frame: 4551 => Midi message: (note_on channel=0 note=64 velocity=120 time=4)
Note 74 (D)| velocity 120 | tempo: 4 | time: 189.92 seconds | frame: 4558 => Midi message: (note_on channel=0 note=74 velocity=120 time=4)
Note 72 (C)| velocity 120 | tempo: 6 | time: 190.21 seconds | frame: 4565 => Midi message: (note_on channel=0 note=72 velocity=120 time=6)
