Track 0: Track 0
Track 1: Für Elise
Note 64 (E)| velocity 76 | tempo: 0 | time: 13.71 seconds | frame: 329 => Midi message: (note_on channel=0 note=64 velocity=76 time=0)
Note 69 (A)| velocity 76 | tempo: 0 | time: 13.93 seconds | frame: 334 => Midi message: (note_on channel=0 note=69 velocity=76 time=0)
Note 71 (B)| velocity 83 | tempo: 0 | time: 14.14 seconds | frame: 339 => Midi message: (note_on channel=0 note=71 velocity=83 time=0)
Note 40 (E)| velocity 64 | tempo: 0 | time: 14.14 seconds | frame: 339 => Midi message: (note_on channel=0 note=40 velocity=64 time=0)
Note 52 (E)| velocity 70 | tempo: 0 | time: 14.36 seconds | frame: 344 => Midi message: (note_on channel=0 note=52 velocity=70 time=0)
Note 56 (G#)| velocity 76 | tempo: 0 | time: 14.57 seconds | frame: 349 => Midi message: (note_on channel=0 note=56 velocity=76 time=0)
Note 64 (E)| velocity 76 | tempo: 0 | time: 14.79 seconds | frame: 354 => Midi message: (note_on channel=0 note=64 velocity=76 time=0)
Note 68 (G#)| velocity 76 | tempo: 0 | time: 15.00 seconds | frame: 360 => Midi message: (note_on channel=0 note=68 velocity=76 time=0)
Note 71 (B)| velocity 76 | tempo: 0 | time: 15.21 seconds | frame: 365 => Midi message: (note_on channel=0 note=71 velocity=76 time=0)
Note 72 (C)| velocity 76 | tempo: 0 | time: 15.43 seconds | frame: 370 => Midi message: (note_on channel=0 note=72 velocity=76 time=0)
Note 45 (A)| velocity 64 | tempo: 0 | time: 15.43 seconds | frame: 370 => Midi message: (note_on channel=0 note=45 velocity=64 time=0)
Note 52 (E)| velocity 76 | tempo: 0 | time: 15.64 seconds | frame: 375 => Midi message: (note_on channel=0 note=52 velocity=76 time=0)
Note 57 (A)| velocity 76 | tempo: 0 | time: 15.86 seconds | frame: 380 => Midi message: (note_on channel=0 note=57 velocity=76 time=0)
Note 64 (E)| velocity 76 | tempo: 0 | time: 16.07 seconds | frame: 385 => Midi message: (note_on channel=0 note=64 velocity=76 time=0)
Note 76 (E)| velocity 76 | tempo: 0 | time: 16.29 seconds | frame: 390 => Midi message: (note_on channel=0 note=76 velocity=76 time=0)
Note 75 (D#)| velocity 70 | tempo: 0 | time: 16.50 seconds | frame: 396 => Midi message: (note_on channel=0 note=75 velocity=70 time=0)
Note 76 (E)| velocity 76 | tempo: 0 | time: 16.71 seconds | frame: 401 => Midi message: (note_on channel=0 note=76 velocity=76 time=0)
Note 75 (D#)| velocity 70 | tempo: 0 | time: 16.93 seconds | frame: 406 => Midi message: (note_on channel=0 note=75 velocity=70 time=0)
Note 76 (E)| velocity 76 | tempo: 0 | time: 17.14 seconds | frame: 411 => Midi message: (note_on channel=0 note=76 velocity=76 time=0)
Note 71 (B)| velocity 76 | tempo: 0 | time: 17.36 seconds | frame: 416 => Midi message: (note_on channel=0 note=71 velocity=76 time=0)
Note 74 (D)| velocity 76 | tempo: 0 | time: 17.57 seconds | frame: 421 => Midi message: (note_on channel=0 note=74 velocity=76 time=0)
